Komentarz do wyników:
 - Dla wariantu z podziałem na bloki czas wykonania jest porównywalny przy zwiększającej się liczbie wątków.
 - W wariancie 1 wraz z liczbą wątków rośnie czas wykonania. Dzieje się tak ponieważ w tym wariancie każdy wątek musi
   przejść przez cały obraz, co powoduje zwiększenie liczby wykonywanych operacji przy wielu wątkach.


========== MODE: numbers, THREADS: 1 ==========

139826513889024      [   0,  256)     0.001337

TOTAL EXECUTION TIME: 0.001515 [s]


========== MODE: blocks, THREADS: 1 ==========

140214178703104      [   0,  512)     0.000710

TOTAL EXECUTION TIME: 0.000886 [s]


========== MODE: numbers, THREADS: 2 ==========

140054557718272      [   0,  128)     0.001386
140054549325568      [ 128,  256)     0.001719

TOTAL EXECUTION TIME: 0.001886 [s]


========== MODE: blocks, THREADS: 2 ==========

140273519867648      [   0,  256)     0.000398
140273511474944      [ 256,  512)     0.000399

TOTAL EXECUTION TIME: 0.000607 [s]


========== MODE: numbers, THREADS: 4 ==========

140475318159104      [   0,   64)     0.001133
140475309766400      [  64,  128)     0.001736
140475226912512      [ 128,  192)     0.001856
140475218519808      [ 192,  256)     0.001426

TOTAL EXECUTION TIME: 0.001998 [s]


========== MODE: blocks, THREADS: 4 ==========

140058549442304      [   0,  128)     0.001145
140058541049600      [ 128,  256)     0.000931
140058532656896      [ 256,  384)     0.000858
140058524264192      [ 384,  512)     0.001016

TOTAL EXECUTION TIME: 0.001531 [s]


========== MODE: numbers, THREADS: 8 ==========

140396883420928      [   0,   32)     0.001438
140396875028224      [  32,   64)     0.001823
140396866635520      [  64,   96)     0.002158
140396724025088      [  96,  128)     0.002334
140396858242816      [ 128,  160)     0.002470
140396776650496      [ 160,  192)     0.002075
140396768257792      [ 192,  224)     0.001169
140396759865088      [ 224,  256)     0.001149

TOTAL EXECUTION TIME: 0.003054 [s]


========== MODE: blocks, THREADS: 8 ==========

139723686045440      [   0,   64)     0.000213
139723677652736      [  64,  128)     0.000170
139723669260032      [ 128,  192)     0.000239
139723660867328      [ 192,  256)     0.000228
139723652474624      [ 256,  320)     0.000216
139723644081920      [ 320,  384)     0.000212
139723635689216      [ 384,  448)     0.000210
139723627296512      [ 448,  512)     0.000156

TOTAL EXECUTION TIME: 0.000633 [s]


========== MODE: numbers, THREADS: 16 ==========

140593271908096      [   0,   16)     0.001670
140593263515392      [  16,   32)     0.001659
140593255122688      [  32,   48)     0.001652
140593112512256      [  48,   64)     0.001806
140593246729984      [  64,   80)     0.001975
140593238337280      [  80,   96)     0.002153
140593229944576      [  96,  112)     0.002259
140593221551872      [ 112,  128)     0.001969
140593213159168      [ 128,  144)     0.002527
140593137186560      [ 144,  160)     0.002334
140593128793856      [ 160,  176)     0.001923
140593104119552      [ 176,  192)     0.001927
140593095726848      [ 192,  208)     0.001805
140593087334144      [ 208,  224)     0.001268
140593078941440      [ 224,  240)     0.001126
140592734533376      [ 240,  256)     0.001050

TOTAL EXECUTION TIME: 0.005106 [s]


========== MODE: blocks, THREADS: 16 ==========

140172292503296      [   0,   32)     0.000136
140172284110592      [  32,   64)     0.000102
140172275717888      [  64,   96)     0.000096
